,feature name,rank
2787,CKSAAP_NP.gap2,563
3282,DDR_W,563
3271,DDR_E,563
1905,NMBroto_CHOC760101.lag1,563
3365,QSO3_SC_V,563
727,DDE_AS,563
3256,PAAC_Xc1.P,563
3352,QSO3_SC_E,563
806,DDE_FR,563
1531,GTPC_postivecharger.alphaticr.uncharger,563
365,CTDD_charge.2.residue25,563
348,CTDD_polarizability.1.residue100,563
877,DDE_KG,563
3574,Z5__40,563
180,CTDC_hydrophobicity_PONP930101.G2,563
997,DDE_RG,563
116,CKSAAGP_uncharger.aromatic.gap3,563
986,DDE_QR,563
335,CTDD_polarity.2.residue25,563
122,CKSAAGP_alphaticr.postivecharger.gap4,563
132,CKSAAGP_postivecharger.postivecharger.gap4,563
135,CKSAAGP_negativecharger.alphaticr.gap4,563
318,CTDD_normwaalsvolume.1.residue100,563
292,CTDD_hydrophobicity_ENGD860101.2.residue75,563
288,CTDD_hydrophobicity_ENGD860101.1.residue100,563
278,CTDD_hydrophobicity_CASG920101.2.residue100,563
3446,ABHPRK__57,563
273,CTDD_hydrophobicity_CASG920101.1.residue100,563
892,DDE_LA,563
250,CTDD_hydrophobicity_ZIMJ680101.3.residue25,563
3593,OVPC_Polar,563
220,CTDD_hydrophobicity_PRAM900101.3.residue25,563
924,DDE_MP,563
900,DDE_LK,563
904,DDE_LP,563
206,CTDC_solventaccess.G1,563
177,CTDC_hydrophobicity_ZIMJ680101.G2,563
178,CTDC_hydrophobicity_ZIMJ680101.G3,563
187,CTDC_hydrophobicity_ENGD860101.G3,563
367,CTDD_charge.2.residue75,563
107,CKSAAGP_postivecharger.postivecharger.gap3,563
182,CTDC_hydrophobicity_CASG920101.G1,563
3564,Z5__30,563
17,AAC_W,563
2665,CKSAAP_FK.gap2,563
31,CKSAAGP_postivecharger.aromatic.gap0,563
41,CKSAAGP_uncharger.aromatic.gap0,563
3521,Z3__5,563
97,CKSAAGP_alphaticr.postivecharger.gap3,563
3528,Z3__12,563
3539,Z5__5,563
1072,DDE_WA,563
438,CTDT_secondarystruct.Tr1331,563
442,CTDT_solventaccess.Tr2332,563
2485,CKSAAP_QL.gap1,563
12,AAC_M,563
2737,CKSAAP_KS.gap2,563
3674,OVP_Hydrophobic_C4,563
427,CTDT_normwaalsvolume.Tr2332,563
424,CTDT_hydrophobicity_FASG890101.Tr2332,563
3649,OVP_Imino_acid_C1,563
1005,DDE_RQ,563
861,DDE_IL,563
741,DDE_CL,620
3604,OVP_Hydrophobic_N1,620
170,CTDC_hydrophobicity_PRAM900101.G1,620
2274,CKSAAP_AY.gap1,620
4,AAC_C,620
179,CTDC_hydrophobicity_PONP930101.G1,620
1086,DDE_WR,620
2341,CKSAAP_GC.gap1,620
3280,DDR_S,620
145,CKSAAGP_alphaticr.alphaticr.gap5,620
1203,DPC_GF,620
3250,PAAC_Xc1.H,620
3354,QSO3_SC_H,620
1023,DDE_SN,620
78,CKSAAGP_aromatic.negativecharger.gap2,620
2614,CKSAAP_CL.gap2,620
1174,DPC_EN,620
932,DDE_NA,620
1495,GTPC_alphaticr.postivecharger.uncharger,620
3244,PAAC_Xc1.N,620
3418,ABHPRK__24,620
376,CTDD_secondarystruct.1.residue50,620
1894,NMBroto_CIDH920105.lag2,620
436,CTDT_charge.Tr2332,620
437,CTDT_secondarystruct.Tr1221,620
399,CTDD_solventaccess.3.residue0,620
3490,Ez__17,620
3484,Ez__11,620
295,CTDD_hydrophobicity_ENGD860101.3.residue25,620
286,CTDD_hydrophobicity_ENGD860101.1.residue50,620
3398,Hydrophobic,620
3481,Ez__8,620
3479,Ez__6,620
326,CTDD_normwaalsvolume.3.residue50,620
205,CTDC_secondarystruct.G3,620
241,CTDD_hydrophobicity_ZIMJ680101.1.residue50,620
3597,OVPC_Charged,620
1909,NMBroto_BIGC670101.lag2,620
3468,Cougar__13,620
1886,APAAC_Pc1.V,727
1033,DDE_TC,727
2493,CKSAAP_QY.gap1,727
2498,CKSAAP_RF.gap1,727
3205,CKSAAP_TS.gap3,727
2502,CKSAAP_RK.gap1,727
1014,DDE_SD,727
867,DDE_IS,727
1593,GTPC_uncharger.uncharger.alphaticr,727
1012,DDE_SA,727
873,DDE_KC,727
853,DDE_IC,727
1018,DDE_SH,727
841,DDE_HL,727
1046,DDE_TR,727
2423,CKSAAP_LR.gap1,727
1585,GTPC_uncharger.postivecharger.postivecharger,727
3009,CKSAAP_GH.gap3,727
738,DDE_CH,727
856,DDE_IF,727
2418,CKSAAP_LL.gap1,727
744,DDE_CP,727
3078,CKSAAP_LL.gap3,727
1584,GTPC_uncharger.postivecharger.aromatic,727
2578,CKSAAP_YL.gap1,727
2998,CKSAAP_FR.gap3,727
843,DDE_HN,727
3284,DDR_V,727
1047,DDE_TS,727
752,DDE_DA,727
2469,CKSAAP_PN.gap1,727
1010,DDE_RW,727
920,DDE_MK,727
999,DDE_RI,727
889,DDE_KV,727
2527,CKSAAP_SR.gap1,727
3184,CKSAAP_SP.gap3,727
1201,DPC_GD,727
957,DDE_PG,727
3149,CKSAAP_QS.gap3,727
2332,CKSAAP_FL.gap1,727
941,DDE_NL,727
937,DDE_NG,727
3156,CKSAAP_RE.gap3,727
933,DDE_NC,727
817,DDE_GG,727
1218,DPC_GY,727
2570,CKSAAP_YA.gap1,727
901,DDE_LL,727
909,DDE_LV,727
3233,CKSAAP_YK.gap3,727
966,DDE_PR,727
1876,APAAC_Pc1.I,727
